FileName,gh,rep,RPid,entry,genotype,DaysToAnthesis,Anthesis,FruitSetRipening,DaysToMaturity,DaysToHarvest,ht_1,ht1Age_days,ht_2,ht2Age_days,ht_harvest,Infl_L,Infl_W,Infl_Area,inflorescenceColor,inflorescenceShape,inflorescenceDensity,inflorescenceLeafiness,Moisture,Ash.14,Crude.Fat.14,Crude.Protein.14,Total.AA.14.mgG,Histidine.14.mgG,Isoleucine.14.mgG,Leucine.14.mgG,Lysine.14.mgG,SAA.14.mgG,AAA.14.mgG,Threonine.14.mgG,Tryptophan.14.mgG,Valine.14.mgG,Protein.14_Yield,Yield_g,TSW,totalSeeds,AvgArea_mm2,AvgEccentricity,TotalCount,sumRGB
1834B 1042,34B,1,34B_1,42,Ames-13745,43,17,12,72,86,50,35,71,41,129,31,7,217,12,3,5,5,6.968427301,2.685264321,3.425552543,13.1066818,829.0641278,26.95154721,37.99701927,58.62004645,58.16418394,38.27909119,61.9671829,32.49352519,10.37314471,43.58598012,1.291270291,9.852,3.072033898,3206.995862,3.227372843,0.320907519,472,394.8713152
1834B 1043,34B,1,34B_1,43,Oro-de-Valle,43,15,14,72,86,35,35,67,41,121,25,10,250,6,3,1,3,7.104663659,2.53355115,2.731840958,12.51677384,822.9976793,26.34557785,37.24984862,62.16527473,58.80006287,38.54801404,61.17270433,32.89284881,10.07226563,45.19342856,1.490372261,11.907,3.572052402,3333.377751,3.321637837,0.346036323,458,371.2165159
1834B 1044,34B,1,34B_1,44,Ames-13722,46,12,10,68,81,45,35,68,41,119,28,5,140,5,3,5,5,7.292942518,2.964271446,3.500109346,15.05443744,793.9119676,26.14037518,37.51129491,59.66019355,55.86169163,35.90360558,60.27629045,30.52565081,10.03063701,44.10604756,1.205860439,8.01,3.895480226,2056.229152,3.382784377,0.415598755,354,367.8213935
1834B 1045,34B,1,34B_1,45,Ames-13735,43,11,18,72,86,47,35,62,41,112,19,7,133,5,3,5,3,7.373860165,2.43661471,3.648639613,13.338122,825.962313,27.139242,39.67172635,60.71293905,57.20316209,37.95845825,64.36175882,32.11872791,10.4064732,45.67060684,0.826696802,6.198,3.371257485,1838.483126,3.105530922,0.341178239,501,346.8687277
1834B 1046,34B,1,34B_1,46,Ames-13744,43,15,14,72,86,47,35,71,41,137,30,9,270,12,3,5,5,6.940537041,2.498568867,3.414005645,12.41564325,832.4735398,26.6398248,38.19221089,59.37002692,58.64297229,38.30321445,62.79090779,32.92374764,10.62752804,43.86706207,1.358395528,10.941,3.182608696,3437.745902,2.838184872,0.361115175,460,388.2916126
1834B 1047,34B,1,34B_1,47,Ames-13749,46,18,20,84,97,37,35,53,41,133,31,6,186,5,3,7,1,7.517525089,2.465967888,4.123926981,13.66070806,851.6210492,28.08057099,41.1889217,60.07093083,56.97770796,38.63336476,67.34245006,32.04736325,10.68810576,44.74878039,0.964992417,7.064,2.973140496,2375.938846,2.965132996,0.373876122,484,353.1081236
1834B 1048,34B,1,34B_1,48,PI-634917,46,12,12,70,83,46,35,63,41,115,22,6,132,5,3,5,5,7.15171417,2.556901821,3.350658004,11.70879622,855.6679889,27.49815943,40.49211799,61.3168633,59.35272989,38.64321202,65.36707132,33.39773192,10.93772119,46.314673,1.063509961,9.083,3.07,2958.631922,2.807512306,0.362901429,500,367.4811244
1834B 1049,34B,1,34B_1,49,Ames-13738,50,12,10,72,86,49,35,66,41,107,24,21,504,15,3,1,5,7.382953979,2.76269368,4.127635992,13.46760754,827.157225,27.07033447,39.73067755,58.35186518,56.24669902,37.05078983,63.82126346,31.54381722,9.715868144,43.76747828,1.054783023,7.832,4.086419753,1916.592145,3.356950452,0.318994139,405,353.3413335
1834B 1050,34B,1,34B_1,50,D-12258,52,12,28,92,106,43,35,57,41,151,47,9,423,13,1,3,1,7.674697848,2.345077625,4.24964618,13.88012696,820.9726817,26.92313351,38.74995487,60.84038798,51.19257433,38.88349017,66.35257336,30.80220046,9.552473412,45.51796762,0.870006358,6.268,1.857308585,3374.775765,2.020568375,0.298728196,862,443.8961648
1834B 1051,34B,1,34B_1,51,D-12357,50,12,39,101,116,49,35,67,41,158,39,10,390,13,3,3,1,7.738349192,2.631730818,4.762346731,16.20319938,824.5451653,28.14084433,39.5796556,59.53955563,52.44217316,NA,65.91109668,31.14751663,9.553825456,45.20867613,0.871408063,5.378,2.685499058,2002.607293,2.794837777,0.346331541,531,414.9803409
