"","Yield_g","TSW","Lysine.14.mgG"
"308",5.298,3.069469835,56.15167395
"309",6.175,2.289795918,54.76982322
"310",3.332,2.027842227,51.50176492
"311",1.454,1.754250386,56.10629371
"312",4.055,2.178517398,57.22013041
"313",1.676,1.939814815,54.54115445
"314",1.901,2.339344262,54.62536936
"315",7.375,3.706818182,52.84430025
"316",4.881,2.18028169,57.09329532
"317",3.62,2.038626609,55.61479857
"318",2.477,2.701348748,56.62892076
"319",3.126,2.217041801,57.28013356
"320",3.332,3.447887324,58.56455622
"321",5.012,2.611510791,52.05976841
"322",3.67,2.18696187,57.02627306
"323",5.023,2.717601547,53.83111183
"324",4.441,2.112466125,52.06939581
"325",2.806,1.461139896,54.0898086
"326",1.579,3.090019569,54.36699739
"327",6.748,1.892473118,50.21352577
"328",0.72,1.531914894,55.84696269
"329",4.4,1.440298507,53.70918528
"330",2.176,1.608695652,51.49020249
"331",3.242,2.867256637,52.36831157
"332",5.575,3.530413625,55.20294712
"333",5.421,1.882224646,51.92463096
"334",1.761,2.211347518,51.72116572
"335",6.513,2.833976834,57.37011613
"336",11.14,3.061386139,61.6199102
"337",11.459,2.709734513,55.49563538
"338",12.091,3.692464358,55.47774985
"339",8.112,2.963709677,57.71981525
"340",8.483,3.082222222,58.96505688
"341",10.808,3.076335878,59.16810089
"342",14.18,3.432304038,60.42959707
"343",11.214,2.856015779,57.99043425
"344",12.208,3.156822811,55.67736735
"345",9.252,3.047285464,59.06851228
"346",10.328,2.86259542,58.09034031
"347",12.879,3.337423313,57.11007589
"348",7.973,2.068119891,54.66097006
"349",10.146,2.882,58.50957051
"350",5.435,3.871428571,56.76316415
"351",8.284,3.670588235,55.01067234
"352",10.37,3.212230216,56.7535927
"353",7.907,3.226611227,57.2284932
"354",5.406,3.210416667,60.96019492
"355",8.244,3.485416667,60.78618744
"356",12.056,3.222222222,58.09323712
"357",9.231,2.897260274,55.41306477
"358",9.688,3.300699301,59.04255206
"359",12.956,2.962151394,61.39056699
"360",4.443,2.388888889,60.91486248
"361",10.884,3.111888112,55.29905762
"362",7.493,2.980861244,60.65251477
"363",6.306,2.30478955,58.08132252
"364",10.706,3.511304348,58.20855471
"365",8.094,2.898954704,58.00269582
"366",3.491,2.628183362,53.26221739
"367",5.357,1.825503356,52.99554312
"368",4.999,1.306563707,55.07977079
"369",5.881,2.646496815,54.34167834
"370",6.037,1.583078491,52.58210721
"371",6.711,2.998387097,55.04668532
"372",6.147,1.688679245,52.24564311
"373",7.85,2.026350461,51.55800964
"374",5.553,1.798245614,51.76136965
"375",2.582,1.917695473,50.00955752
